name,shop_type,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,services,is_transmission_specialist,osm_type,osm_id,osm_url
B Street Collission Center,car_repair,"4633 North 35th Street, Lincoln, NE 68504",4633,North 35th Street,Lincoln,NE,68504,40.8580735,-96.6691589,,,,,False,way,1328436994,https://www.openstreetmap.org/way/1328436994
Baxter Auto Body West Dodge,car_repair,"North 177th Circle, Omaha, NE 68118",,North 177th Circle,Omaha,NE,68118,41.2671729,-96.1894202,,,,,False,way,489259597,https://www.openstreetmap.org/way/489259597
Baxter Subaru,car_repair,"17130 Burt Street, Omaha, NE 68118",17130,Burt Street,Omaha,NE,68118,41.2659336,-96.1832168,+1-402-397-8305,,,,False,node,7087448081,https://www.openstreetmap.org/node/7087448081
Baxter Volkswagen Omaha,car_repair,"17220 Burt Street, Omaha, NE 68118",17220,Burt Street,Omaha,NE,68118,41.265624,-96.1842575,+1-402-397-8200,,,,False,node,7087455808,https://www.openstreetmap.org/node/7087455808
Beed’s Auto Parts & Service,car_repair,,,,,,,41.4619898,-96.7809741,,,,Car Parts; General repairs,False,way,1085190665,https://www.openstreetmap.org/way/1085190665
Beemer Small Engine and Repair,car_repair,"Sherman Street, Beemer, NE 68716",,Sherman Street,Beemer,NE,68716,41.9303679,-96.8024291,,,,,False,node,3891188257,https://www.openstreetmap.org/node/3891188257
BG&S Transmissions,car_repair,"901 West 2nd Street, Grand Island, NE 68801",901,West 2nd Street,Grand Island,NE,68801,40.9210348,-98.3482495,,,,,True,way,549241215,https://www.openstreetmap.org/way/549241215
,tyres,"116 West 56th Street, Kearney 68847",116,West 56th Street,Kearney,,68847,40.7278703,-99.0833346,,,,,False,way,492797723,https://www.openstreetmap.org/way/492797723
Bill's Transmissions,car_repair,,,,,,,40.2024272,-98.0675968,,,,,True,node,11084421755,https://www.openstreetmap.org/node/11084421755
Blaha Auto Repair,car_repair,,,,,,,41.1362429,-95.8979508,,,,,False,way,395026278,https://www.openstreetmap.org/way/395026278
Bob's Body Shop,car_repair,"1902 West Old Lincoln Highway, Grand Island, NE 68803",1902,West Old Lincoln Highway,Grand Island,NE,68803,40.9190764,-98.3602012,,,,,False,way,549579181,https://www.openstreetmap.org/way/549579181
Brakes Plus,car_repair,"846 North Saddle Creek Road, Omaha, NE 68132",846,North Saddle Creek Road,Omaha,NE,68132,41.267112,-95.9826136,+1-402-556-7766,https://www.brakesplus.com,Mo-Fr 08:00-18:00;Sa 08:00-17:00,,False,node,1977406564,https://www.openstreetmap.org/node/1977406564
Brakes Plus,car_repair,"12110 West Dodge Road, Omaha, NE 68154",12110,West Dodge Road,Omaha,NE,68154,41.2637513,-96.1030608,+1-402-401-2343,https://www.brakesplus.com,Mo-Fr 08:00-18:00;Sa 08:00-17:00,,False,node,5649897872,https://www.openstreetmap.org/node/5649897872
Brakes Plus,car_repair,"10051 South 71st Avenue, Papillion, NE 68133",10051,South 71st Avenue,Papillion,NE,68133,41.16937,-96.02246,+1-402-401-2295,https://www.brakesplus.com,Mo-Fr 08:00-18:00;Sa 08:00-17:00,,False,node,5649897873,https://www.openstreetmap.org/node/5649897873
Brakes Plus,car_repair,"3837 North 168th Street, Omaha, NE 68116",3837,North 168th Street,Omaha,NE,68116,41.2936039,-96.1769342,+1-402-408-2003,https://www.brakesplus.com,Mo-Fr 08:00-18:00;Sa 08:00-17:00,,False,node,5649897875,https://www.openstreetmap.org/node/5649897875
Brakes Plus,car_repair,"3422 South 143rd Plaza, Omaha, NE 68144",3422,South 143rd Plaza,Omaha,NE,68144,41.226745,-96.137692,+1-402-333-4433,https://www.brakesplus.com,Mo-Fr 08:00-18:00;Sa 08:00-17:00,,False,node,5649897876,https://www.openstreetmap.org/node/5649897876
Brakes Plus,car_repair,"3907 North 90th Street, Omaha, NE 68134",3907,North 90th Street,Omaha,NE,68134,41.294621,-96.051883,+1-402-573-0033,https://www.brakesplus.com,Mo-Fr 08:00-18:00;Sa 08:00-17:00,,False,node,5649897877,https://www.openstreetmap.org/node/5649897877
Brakes Plus,car_repair,"10050 South 71st Avenue, Papillion, NE 68133",10050,South 71st Avenue,Papillion,NE,68133,41.1600959,-96.0229463,+14024012295,,,,False,node,11672123453,https://www.openstreetmap.org/node/11672123453
Brakes Plus,car_repair,,,,,,,41.1588565,-95.9443732,,,Mo-Fr 08:00-18:00; Sa 08:00-17:00,,False,way,432556212,https://www.openstreetmap.org/way/432556212
Brakes Plus,car_repair,"1510 Pine Lake Road, Lincoln, NE 68512",1510,Pine Lake Road,Lincoln,NE,68512,40.7390531,-96.6999677,+1-402-782-5200,,Mo-Fr 08:00-18:00; Sa 08:00-17:00,,False,way,1013986970,https://www.openstreetmap.org/way/1013986970
Brakes Plus,car_repair,"222 North 48th Street, Lincoln, NE 68504",222,North 48th Street,Lincoln,NE,68504,40.8151446,-96.6529422,+1-402-466-0104,https://www.brakesplus.com/stores/lincoln/ne/0406/,Mo-Fr 08:00-18:00; Sa 08:00-17:00,A/C; Alignment; Batteries; Brakes; Oil change; Tyre Rotation; Wipers,False,way,1350438602,https://www.openstreetmap.org/way/1350438602
Breitbarth One Stop,car_repair,,,,,,,42.1164475,-96.7074391,,,,,False,node,6326676935,https://www.openstreetmap.org/node/6326676935
Bstreet Collision Center,car_repair,,,,,,,41.2512313,-96.0243189,,,,,False,node,12075935959,https://www.openstreetmap.org/node/12075935959
Buchanan Service,car_repair,,,,,,,41.2593476,-95.9907188,,,,,False,node,10022890860,https://www.openstreetmap.org/node/10022890860
Bumper to Bumper Body & Paint,car_repair,,,,,,,41.8560459,-103.6664086,,,,Body work; Painting,False,way,1239267874,https://www.openstreetmap.org/way/1239267874
Burg Auto,car_repair,"Stromsburg, NE",,,Stromsburg,NE,,41.1122459,-97.5979079,,,,,False,node,1277217658,https://www.openstreetmap.org/node/1277217658
Car-Tech Auto Repair,car_repair,,,,,,,41.251664,-96.0291601,,,Mo-Fr 08:00-18:00,,False,node,12074611663,https://www.openstreetmap.org/node/12074611663
Carrol's Towing & Repair,car_repair,"1321 South Chestnut Street, North Platte, NE 69101",1321,South Chestnut Street,North Platte,NE,69101,41.1220279,-100.7598804,,,,,False,way,1291599808,https://www.openstreetmap.org/way/1291599808
Centro Mex,car_repair,"607 West 4th Street, Grand Island, NE 68801",607,West 4th Street,Grand Island,NE,68801,40.9259198,-98.3475904,,,,,False,way,549187149,https://www.openstreetmap.org/way/549187149
Certified Fleet Services Inc,car_repair,"6502 Grover Street, Omaha, NE 68106",6502,Grover Street,Omaha,NE,68106,41.2273797,-96.0137739,+1-402-731-5322,,Mo-Fr 08:00-17:00,Truck Repair,False,node,7539403247,https://www.openstreetmap.org/node/7539403247
Certified Transmission,car_repair,"7516 Pacific Street, Omaha, NE 68114",7516,Pacific Street,Omaha,NE,68114,41.2491112,-96.0297611,,,,,True,node,12074278535,https://www.openstreetmap.org/node/12074278535
Certified Transmission,car_repair,"5202 Center Street, Omaha, NE 68106",5202,Center Street,Omaha,NE,68106,41.2418564,-95.9961235,+1-402-916-1806,americanautomart.net,Mo-Fr 08:00-18:00; Sa 09:00-16:00,,True,way,806248590,https://www.openstreetmap.org/way/806248590
Chadron Express Lube,car_repair,,,,,,,42.8240267,-103.0189142,,,,Oil change,False,way,463923380,https://www.openstreetmap.org/way/463923380
Champlin Tire,tyres,"3215 South 66th Avenue Circle, Omaha, NE 68106",3215,South 66th Avenue Circle,Omaha,NE,68106,41.2292622,-96.0146787,+1-402-393-4991,,Mo-Fr 08:30-17:30,,False,way,806248559,https://www.openstreetmap.org/way/806248559
Charlie Graham Great Plains Auto Body,car_repair,"4103 Leavenworth Street, Omaha, NE 68105",4103,Leavenworth Street,Omaha,NE,68105,41.2521349,-95.9752412,+1-402-551-6000,https://greatplainsautobody.com/,Mo-Fr 07:30-17:30,Alternator; Battery Testing; Brakes; General repairs; Engine Lights Testing; Exhausts; Fluid Changes; Glass Repair; Hail Damage Repair; Oil change; Painting; Shock Absorbers; Starters; Steering; Towing; Tires; Wheels,False,way,695760267,https://www.openstreetmap.org/way/695760267
Christian Brothers,car_repair,"11319 Cumberland Drive, Papillion, NE 68046",11319,Cumberland Drive,Papillion,NE,68046,41.1487341,-96.0900293,,,,,False,node,11698507960,https://www.openstreetmap.org/node/11698507960
"Chuck's Creations, Auto Restoration & Mobile Sand Blasting",car_repair,"302 West Front Street, Alda, NE 68810",302,West Front Street,Alda,NE,68810,40.8695423,-98.4694823,+1-308-258-4013,https://chuckscreationsgrandisland.com/,"Sa-Su CLOSED, Mo-Fr 08:00-17:00",Body work; Car Parts; Glass; Painting; General repairs,False,node,13267388526,https://www.openstreetmap.org/node/13267388526
Cornhusker Express Lube,car_repair,,,,,,,41.1587973,-95.9465593,,,Mo-Sa 08:00-18:00; Su 10:00-16:00,,False,node,8870151884,https://www.openstreetmap.org/node/8870151884
Crash Champions,car_repair,,,,,,,41.2695402,-96.2368875,+1 402-763-9940,https://crashchampions.com/locations/crash-champions-elkhorn,,Body work,False,node,4061081275,https://www.openstreetmap.org/node/4061081275
Crash Champions Collision Repair,car_repair,,,,,,,41.1597484,-95.9446789,+1 402-293-1154,https://crashchampions.com/locations/crash-champions-bellevue,,Body work,False,way,387463378,https://www.openstreetmap.org/way/387463378
Crystal Oil,car_repair,,,,,,,42.4449,-96.4146294,,,,,False,node,6290485614,https://www.openstreetmap.org/node/6290485614
Dannull Engine Service,car_repair,"309 West 4th Avenue, Holdrege 68949",309,West 4th Avenue,Holdrege,,68949,40.4375527,-99.3842032,,,,,False,node,3825984530,https://www.openstreetmap.org/node/3825984530
Dave's Auto Body Co,car_repair,"9630 Redick Avenue, Omaha, NE 68122",9630,Redick Avenue,Omaha,NE,68122,41.3179518,-96.0640451,+1-402-671-0646,https://davesautobodyco.com/,Mo-Fr 7:30-17:30,,False,way,632693649,https://www.openstreetmap.org/way/632693649
Dawson Tire & Wheel,car_repair,,,,,,,40.9254123,-100.1585352,,,,,False,node,3864513801,https://www.openstreetmap.org/node/3864513801
Deshler Motors,car_repair,,,,,,,40.1475157,-97.7239813,,,08:00-17:00,,False,node,2525542511,https://www.openstreetmap.org/node/2525542511
Dillon's Service Center,car_repair,"6521 North 28th Street, Lincoln, NE 68504",6521,North 28th Street,Lincoln,NE,68504,40.8772393,-96.6806619,+1-402-435-1260,https://www.dillonsauto.com/,Mo-Fr 08:00-16:30,General repairs; Diagnostics; Oil change,False,way,535072156,https://www.openstreetmap.org/way/535072156
Dingmans Collision,car_repair,,,,,,,41.1541189,-96.0426186,,,,,False,node,8151883390,https://www.openstreetmap.org/node/8151883390
Discount Tire,tyres,"18520 Wright Street, Omaha, NE 68130",18520,Wright Street,Omaha,NE,68130,41.2335041,-96.2049726,+1-402-686-2036,http://stores.discounttire.com/ne/omaha/neo-05/,,,False,node,4096439264,https://www.openstreetmap.org/node/4096439264
Discount Tire,tyres,"9974 South 71st Avenue, Papillion, NE 68133",9974,South 71st Avenue,Papillion,NE,68133,41.1607047,-96.0231146,+14023319175,,,,False,node,11672121578,https://www.openstreetmap.org/node/11672121578
Discount Tire,tyres,,,,,,,40.9427513,-98.3842795,,,,,False,node,12154041253,https://www.openstreetmap.org/node/12154041253
Discount Tire,tyres,,,,,,,41.2914982,-96.1857882,,,,,False,way,937899415,https://www.openstreetmap.org/way/937899415
Discount Tire,tyres,"5610 N Street, Lincoln, NE 68510",5610,N Street,Lincoln,NE,68510,40.8129773,-96.6434851,+1-402-417-1025,https://www.discounttire.com/store/ne/lincoln/s/2356,Mo-Fr 08:00-18:00; Sa 08:00-17:00,,False,way,1481621323,https://www.openstreetmap.org/way/1481621323
DIY Garage,car_repair,2211 Harvell Plaza,2211,Harvell Plaza,,,,41.1569052,-95.9252024,+1-402-315-1080,https://www.diygarage.net/,Mo-Sa 08:00-17:30,,False,way,189992547,https://www.openstreetmap.org/way/189992547
Doc's Auto Clinic,car_repair,"3330 Superior Street, Lincoln, NE 68504",3330,Superior Street,Lincoln,NE,68504,40.8581642,-96.6702934,+1-402-464-4330,,,Body work,False,way,197624392,https://www.openstreetmap.org/way/197624392
Dorn's Service,car_repair,,,,,,,41.8296843,-103.6609516,,,,,False,node,3879273516,https://www.openstreetmap.org/node/3879273516
E's Foreign Auto Repair,car_repair,"13601 Energy Way, Waverly, NE 68462",13601,Energy Way,Waverly,NE,68462,40.9104168,-96.5354176,+1 402-853-9885,business.site,Mo-Fr 08:00-17:00,,False,node,7530452671,https://www.openstreetmap.org/node/7530452671
Ed's Auto Body,car_repair,,,,,,,41.1370695,-95.9063635,,,,,False,node,4414236603,https://www.openstreetmap.org/node/4414236603
Ed's Garage,car_repair,"195 Monroe Street, 68317",195,Monroe Street,,,68317,40.6846691,-96.5069658,,,,,False,way,200529349,https://www.openstreetmap.org/way/200529349
Ekeler Repair,car_repair,"107 North Exeter Avenue, Exeter, NE 68351",107,North Exeter Avenue,Exeter,NE,68351,40.6460125,-97.4503963,+1-402-266-2991,,Mo-Fr 08:00-17:00,General repairs,False,node,10674582382,https://www.openstreetmap.org/node/10674582382
Elkhorn Automotive,car_repair,"2009 River Road Drive, Waterloo, NE 68069",2009,River Road Drive,Waterloo,NE,68069,41.2781411,-96.2781357,,,,,False,node,6394816057,https://www.openstreetmap.org/node/6394816057
Ellis Automotive,car_repair,"360 Fir Street, 68317",360,Fir Street,,,68317,40.6800971,-96.5071287,,,,,False,way,200545770,https://www.openstreetmap.org/way/200545770
Ernie's Service,car_repair,"4000 A Street, Lincoln, NE 68510",4000,A Street,Lincoln,NE,68510,40.7992561,-96.6628776,+1-402-489-6400,,,,False,node,4253678844,https://www.openstreetmap.org/node/4253678844
Everett's Repair Inc.,car_repair,"207 East Valley Street, Valley, NE 68064",207,East Valley Street,Valley,NE,68064,41.3132395,-96.3426237,,https://www.everettsauto.com/,,,False,node,6394816058,https://www.openstreetmap.org/node/6394816058
Exclusive Repair,car_repair,"4420 Leavenworth Street, Omaha, NE 68105",4420,Leavenworth Street,Omaha,NE,68105,41.2527003,-95.9797258,+1-402-551-3015,,Mo-Fr 07:00-17:00,,False,way,806952079,https://www.openstreetmap.org/way/806952079
Exhaust Pros & Lightning Lube,car_repair,,,,,,,42.2289411,-97.0201842,,,,,False,node,3789965398,https://www.openstreetmap.org/node/3789965398
Express Truck Center,car_repair,,,,,,,40.8153671,-97.5987512,,,,,False,way,806723834,https://www.openstreetmap.org/way/806723834
F & F Tire & Service,car_repair,"661 E Avenue East, Wisner 68791",661,E Avenue East,Wisner,,68791,41.9862626,-96.9131544,+1-402-529-3538,,,,False,node,3890015050,https://www.openstreetmap.org/node/3890015050
Fine Line Autobody & Paint,car_repair,,,,,,,40.6195996,-96.6321014,,,,,False,node,12128919820,https://www.openstreetmap.org/node/12128919820
Firestone,car_repair,"3018 North 90th Street, Omaha, NE 68134",3018,North 90th Street,Omaha,NE,68134,41.2860521,-96.0532139,,,,,False,node,12805553617,https://www.openstreetmap.org/node/12805553617
Firestone,car_repair,"17636 Arbor Plaza, 68130",17636,Arbor Plaza,,,68130,41.2355118,-96.191209,,,,,False,way,180645024,https://www.openstreetmap.org/way/180645024
Firestone,car_repair,,,,,,,41.4018516,-102.3466957,,,,,False,way,533552596,https://www.openstreetmap.org/way/533552596
Firestone,car_repair,,,,,,,41.2347196,-96.1178963,,,,,False,way,603492382,https://www.openstreetmap.org/way/603492382
Firestone,car_repair,"300 North 66th Street, Lincoln, NE 68505",300,North 66th Street,Lincoln,NE,68505,40.8166611,-96.630206,+1-402-875-6478,https://local.firestonecompleteautocare.com/nebraska/lincoln/300-n-66th-st/,Mo-Sa 07:00-18:00; Su 09:00-17:00,Tires,False,way,696752835,https://www.openstreetmap.org/way/696752835
Firestone,car_repair,,,,,,,40.8121012,-96.7047134,,,,,False,way,703381335,https://www.openstreetmap.org/way/703381335
Firestone,car_repair,"11751 South 73rd Street, Papillon, NE 68046",11751,South 73rd Street,Papillon,NE,68046,41.1336304,-96.0244642,+1-402-913-3561,,,,False,way,1235146556,https://www.openstreetmap.org/way/1235146556
Firestone Auto Care,car_repair,,,,,,,41.1172827,-95.9193792,,,,,False,node,4095120151,https://www.openstreetmap.org/node/4095120151
First Class Glass and Alignment,car_repair,,,,,,,41.983914,-96.9081118,,,,,False,node,3890031645,https://www.openstreetmap.org/node/3890031645
Five Star Truck Center,car_repair,"425 Garden Street, 68317",425,Garden Street,,,68317,40.6787787,-96.5061549,,,,,False,way,200545752,https://www.openstreetmap.org/way/200545752
Ford Collision Center,car_repair,,,,,,,40.7254929,-96.6752322,,,,,False,node,4231283935,https://www.openstreetmap.org/node/4231283935
Forever Auto Clinic,car_repair,,,,,,,40.8245965,-96.6898075,+1-402-318-9794,,,,False,node,11928324755,https://www.openstreetmap.org/node/11928324755
Fremont Tire,car_repair,,,,,,,42.4667059,-96.4280793,,,,Tires,False,node,8955041898,https://www.openstreetmap.org/node/8955041898
Frontier Cooperative,car_repair,"426 Highway 6, Greenwood, NE 68366",426,Highway 6,Greenwood,NE,68366,40.9602936,-96.4430359,+1-402-381-8170,,,,False,way,478353286,https://www.openstreetmap.org/way/478353286
G.A.S. Auto,car_repair,"3160 South 36th Street, Omaha, NE 68105",3160,South 36th Street,Omaha,NE,68105,41.2296554,-95.9664014,+1 402 933 2400,,,,False,node,8732652282,https://www.openstreetmap.org/node/8732652282
Gary's Auto Repair,car_repair,,,,,,,41.8596577,-103.6562603,,,,,False,way,1238930066,https://www.openstreetmap.org/way/1238930066
Gary's Autobody Shop,car_repair,"West Main Street, Cedar Bluffs, NE 68015",,West Main Street,Cedar Bluffs,NE,68015,41.3973094,-96.613131,,,,,False,node,1316566039,https://www.openstreetmap.org/node/1316566039
Gary's Automotive,car_repair,,,,,,,40.9167226,-98.3883459,,,,,False,way,1059594169,https://www.openstreetmap.org/way/1059594169
Gene Steffy Chrysler Jeep Dodge,car_repair,,,,,,,41.4502437,-96.4648775,,,,,False,node,3814845610,https://www.openstreetmap.org/node/3814845610
Glass Doctor,car_repair,"5100 North 57th Street, Lincoln, NE 68507",5100,North 57th Street,Lincoln,NE,68507,40.8643406,-96.642397,+1-402-817-3739,https://glassdoctor.com/lincoln?cid=LSTL_MGD000191,,Glass Repair,False,node,10820396406,https://www.openstreetmap.org/node/10820396406
Glen's Auto Repair,car_repair,,,,,,,41.2239617,-96.1277487,,,,,False,node,2248645904,https://www.openstreetmap.org/node/2248645904
Glenn's CARSTAR Body Shop,car_repair,"2051 K Street, Lincoln, NE 68510",2051,K Street,Lincoln,NE,68510,40.8087986,-96.6912121,+1-402-475-8441,https://www.carstar.com/store/glenns-carstar-body-shop-lincoln-nebraska,Mo-Fr 08:00-17:00,,False,way,422770539,https://www.openstreetmap.org/way/422770539
Goodyear,car_repair,"Lexington, NE",,,Lexington,NE,,40.739126,-99.7406981,,,,,False,node,8810425945,https://www.openstreetmap.org/node/8810425945
Gothenburg Tires & Service,car_repair,,,,,,,40.9280204,-100.1645675,,,,,False,node,3864472065,https://www.openstreetmap.org/node/3864472065
Graham Tire,car_repair,"6800 O Street, Lincoln, NE 68510",6800,O Street,Lincoln,NE,68510,40.8137648,-96.6274154,+1-402-467-2555,,Mo-Su 07:00-17:30,,False,way,1134171955,https://www.openstreetmap.org/way/1134171955
Gregg Young Mitsubishi Service Center,car_repair,"6320 Telluride Drive, Lincoln, NE 68521",6320,Telluride Drive,Lincoln,NE,68521,40.8759986,-96.683095,,,,A/C; Alignment; Batteries; Brakes; General repairs; Diagnostics; Electrical; Muffler; Oil change; Tires,False,node,5203335730,https://www.openstreetmap.org/node/5203335730
Grover Diesel,car_repair,"3306 South 66th Avenue Circle, Omaha, NE 68106",3306,South 66th Avenue Circle,Omaha,NE,68106,41.2286478,-96.0156325,+1-402-391-3070,,Mo-Fr 08:00-17:00,Truck Repair,False,way,806248555,https://www.openstreetmap.org/way/806248555
Hanquist Service,car_repair,"1501 South 17th Street, Lincoln, NE 68502",1501,South 17th Street,Lincoln,NE,68502,40.7977108,-96.6969201,,,,,False,node,13653416914,https://www.openstreetmap.org/node/13653416914
Harmons Ok Tire,tyres,"1903 Harlan Street, Falls City, NE 68355",1903,Harlan Street,Falls City,NE,68355,40.063861,-95.6020008,,,,,False,node,11301126390,https://www.openstreetmap.org/node/11301126390
Hauxwell Motors,car_repair,,,,,,,40.1985787,-100.6338695,,,,,False,node,12749374639,https://www.openstreetmap.org/node/12749374639
