name,brand,operator,stock_type,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,services,osm_type,osm_id,osm_url
Baxter Chrysler Dodge Jeep Ram Papillion,Chrysler,Baxter Automotive Group,,"Crest Road, Richland VIII Precinct, Nebraska 68138",,Crest Road,Richland VIII Precinct,Nebraska,68138,41.149321,-96.1476063,,,,,node,9318643424,https://www.openstreetmap.org/node/9318643424
Baxter Ford,,,,"18505 California Street, Omaha, NE 68022",18505,California Street,Omaha,NE,68022,41.2639154,-96.2050244,,http://www.baxterford.net,,,way,179052580,https://www.openstreetmap.org/way/179052580
Baxter Ford of Papillion,Ford,Baxter Automotive Group,,"Crest Road, Richland VIII Precinct, Nebraska 68138",,Crest Road,Richland VIII Precinct,Nebraska,68138,41.1493488,-96.1452438,,,,,node,9318643420,https://www.openstreetmap.org/node/9318643420
Baxter Ford Papillion,Ford,Baxter,,"Crest Road, Richland VIII Precinct, Nebraska 68138",,Crest Road,Richland VIII Precinct,Nebraska,68138,41.1495196,-96.1450095,,,,,way,1009974468,https://www.openstreetmap.org/way/1009974468
Baxter Subaru,,,,"17130 Burt Street, Omaha, NE 68118",17130,Burt Street,Omaha,NE,68118,41.2653562,-96.1828606,+1-402-397-8305,,,,node,7087455786,https://www.openstreetmap.org/node/7087455786
Baxter Toyota of Lincoln,Toyota,Baxter Toyota,Both new & used,"8600 South 33rd Street, Lincoln, NE 68516",8600,South 33rd Street,Lincoln,NE,68516,40.7254395,-96.6716336,+14024764000,https://www.toyotaoflincoln.com/,Mo-Sa 08:00-20:00; Fr-Sa 08:00-18:00; Su off,General repairs; Inspection; New Car Sales; Oil change; Used Car Sales,node,5520309460,https://www.openstreetmap.org/node/5520309460
Baxter Volkswagen Omaha,,,,"17220 Burt Street, Omaha, NE 68118",17220,Burt Street,Omaha,NE,68118,41.2651385,-96.1840322,+1-402-397-8200,,,,node,7087455789,https://www.openstreetmap.org/node/7087455789
Beardmore Hyundai,,,,"Sidney Street, Bellevue, Nebraska 68005",,Sidney Street,Bellevue,Nebraska,68005,41.1853539,-95.9319694,,,,,way,190002785,https://www.openstreetmap.org/way/190002785
Breeze Auto Sales,,,Used only,"400 West Cornhusker Highway, Lincoln, NE 68521",400,West Cornhusker Highway,Lincoln,NE,68521,40.8359752,-96.7256795,+1-402-413-2191,https://www.breezeautosales.com/,Mo-Sa 09:00-18:00,,way,660070776,https://www.openstreetmap.org/way/660070776
Bridge Street Auto,,,,"2912 South Locust Street, Grand Island, NE 68801",2912,South Locust Street,Grand Island,NE,68801,40.8928422,-98.3403702,,,,,node,3818179124,https://www.openstreetmap.org/node/3818179124
Broadway Auto Sales,,,,"Cornhusker Drive, South Sioux City, Nebraska 68776",,Cornhusker Drive,South Sioux City,Nebraska,68776,42.4684362,-96.4282677,,,,,node,8955041895,https://www.openstreetmap.org/node/8955041895
Bullock,,,,"8th Street, Grant, Nebraska 69140",,8th Street,Grant,Nebraska,69140,40.8467101,-101.7257844,,,,,way,1393409774,https://www.openstreetmap.org/way/1393409774
CarMax Auto Superstore,CarMax,,Used only,"17606 Burt Street, Omaha, NE 68118",17606,Burt Street,Omaha,NE,68118,41.2658867,-96.1903698,,https://www.carmax.com/stores/7270,,,way,179060840,https://www.openstreetmap.org/way/179060840
Cars 4 Less,,,Used only,"2825 North 48th Street, Lincoln, NE 68504",2825,North 48th Street,Lincoln,NE,68504,40.8409876,-96.6544279,,https://www.cars4lessne.com/,,,node,4242543314,https://www.openstreetmap.org/node/4242543314
Cars For Less,,,Used only,"South Locust Street, Grand Island, Nebraska 68801",,South Locust Street,Grand Island,Nebraska,68801,40.8832095,-98.3402614,+1-308-382-2277,https://www.cflgrandisland.com/,,,node,8758746674,https://www.openstreetmap.org/node/8758746674
Clock Tower Auto Mall,,,,"805 23rd Street, Columbus 68601",805,23rd Street,Columbus,,68601,41.4380783,-97.3355203,+1 402 563 3602,https://www.clocktowerauto.com/,Mo-Fr 09:00-18:00; Sa 09:00-15:00,,node,2124349197,https://www.openstreetmap.org/node/2124349197
Copple,,,Both new & used,"Fulton Avenue, Plattsmouth, Nebraska 68048",,Fulton Avenue,Plattsmouth,Nebraska,68048,41.0188724,-95.9077745,,,,,node,10245734898,https://www.openstreetmap.org/node/10245734898
Cornhusker Auto Center: Chrysler Dodge Jeep Ram,,,,"700 East Norfolk Avenue, Norfolk, NE 68701",700,East Norfolk Avenue,Norfolk,NE,68701,42.0322051,-97.3966136,,,,,way,359227988,https://www.openstreetmap.org/way/359227988
Cornhusker Auto Center: Chrysler Dodge Jeep Ram,,,,"700 East Norfolk Avenue, Norfolk, NE 68701",700,East Norfolk Avenue,Norfolk,NE,68701,42.0322661,-97.396827,+1-877-798-5012,https://www.cornhuskerautocenter.com/,,,way,359228101,https://www.openstreetmap.org/way/359228101
Cornhusker International,,,,"3131 Cornhusker Highway, Lincoln, NE 68504",3131,Cornhusker Highway,Lincoln,NE,68504,40.8420039,-96.6758406,+1-402-625-7904,https://www.cornhuskerinternational.com/,Mo-Fr 07:00-18:00; Sa 08:00-12:00,,way,1295545909,https://www.openstreetmap.org/way/1295545909
Cornhusker Nissan,,,,"307 East Norfolk Avenue, Norfolk, NE 68701",307,East Norfolk Avenue,Norfolk,NE,68701,42.0332164,-97.4029005,+1-888-371-4344,http://cornhuskerautonissan.com,,,way,360442502,https://www.openstreetmap.org/way/360442502
Courtesy Auto Park,,,Used only,"L Street, Omaha, NE",,L Street,Omaha,NE,,41.2130711,-96.0063452,,,,,way,399589593,https://www.openstreetmap.org/way/399589593
Cover-Jones Ford Motors,,,,"West 3rd Street, Alliance, Nebraska 69301",,West 3rd Street,Alliance,Nebraska,69301,42.0968629,-102.8752944,,,,,node,3119908973,https://www.openstreetmap.org/node/3119908973
Credit Auto Sales,,,Used only,"3530 South 50th Street, Omaha, NE 68107",3530,South 50th Street,Omaha,NE,68107,41.2266468,-95.9907965,+1-402-345-1244,https://www.creditcarlot.com/,Mo-Sa 09:30-18:00,,way,805819200,https://www.openstreetmap.org/way/805819200
Dannull Auto Sales,,,,"West 4th Avenue, Holdrege, Nebraska 68949",,West 4th Avenue,Holdrege,Nebraska,68949,40.4377405,-99.3839886,,,,,node,3825984470,https://www.openstreetmap.org/node/3825984470
De Anda Auto Sales,,,,"Cornhusker Drive, South Sioux City, Nebraska 68776",,Cornhusker Drive,South Sioux City,Nebraska,68776,42.4690219,-96.4282316,,,,,node,8955041894,https://www.openstreetmap.org/node/8955041894
Dealin Dj's Car & Truck Sales,,,Used only,"6002 Center Street, Omaha, NE 68106",6002,Center Street,Omaha,NE,68106,41.2381727,-96.0051745,+1-402-553-7729,,Mo-Fr 09:00-18:00; Sa 09:00-17:00,,node,4082408510,https://www.openstreetmap.org/node/4082408510
Denver Auto Sales,,,Used only,"4925 Cornhusker Highway, Lincoln, NE 68504",4925,Cornhusker Highway,Lincoln,NE,68504,40.8525787,-96.6517719,+1-402-466-5900,https://www.denverautosales.info/,Mo-Fr 08:00-20:00; Sa 09:00-19:00; Su 09:00-21:00,Used Car Sales,node,4242543295,https://www.openstreetmap.org/node/4242543295
Diers Ford - Lincoln,Ford;Lincoln;Mercury,,,"North Broad Street, Fremont, Nebraska 68025",,North Broad Street,Fremont,Nebraska,68025,41.4531739,-96.4981996,,,,,way,508588826,https://www.openstreetmap.org/way/508588826
Dillon's Auto Sales,,,,"6345 North 28th Street, Lincoln, NE 68504",6345,North 28th Street,Lincoln,NE,68504,40.8757884,-96.6806064,,,,,way,197747174,https://www.openstreetmap.org/way/197747174
Dillon's North Lincoln,,,,"6341 North 28th Street, Lincoln, NE 68504",6341,North 28th Street,Lincoln,NE,68504,40.8755317,-96.6810477,+1-402-477-0009,https://www.dillonsauto.com/,Mo-Th 09:00-19:00; Fr-Sa 09:00-18:00,,way,197747176,https://www.openstreetmap.org/way/197747176
Dillon's Super Center,,,,"6401 North 28th Street, Lincoln, NE 68504",6401,North 28th Street,Lincoln,NE,68504,40.8766287,-96.681088,+1-402-477-0404,,Mo-Th 09:00-19:00; Fr-Sa 09:00-18:00,,way,197747192,https://www.openstreetmap.org/way/197747192
Drive Fast USA Auto Sales,,,Used only,"2601 Whitehead Drive, Lincoln, NE 68521",2601,Whitehead Drive,Lincoln,NE,68521,40.8783134,-96.6832013,+1-402-242-6100,https://www.drivefastusa.com,,Used Car Sales,node,5187548570,https://www.openstreetmap.org/node/5187548570
Durst Motor Company,,,,"140 South 1st Street, Lincoln, NE 68508",140,South 1st Street,Lincoln,NE,68508,40.8128922,-96.7197081,,,,,way,696524702,https://www.openstreetmap.org/way/696524702
DuTeau,Chevrolet,,,"Porter Ridge Road, Lincoln, Nebraska 68512",,Porter Ridge Road,Lincoln,Nebraska,68512,40.7369976,-96.6816447,,,,,way,1013986984,https://www.openstreetmap.org/way/1013986984
DuTeau Subaru,Subaru,,,"Jamie Lane, Lincoln, Nebraska 68512",,Jamie Lane,Lincoln,Nebraska,68512,40.7289988,-96.6808373,,,,,node,4262158094,https://www.openstreetmap.org/node/4262158094
Eagle Chevrolet Buick,,,,"West 6th Street, Chadron, Nebraska 69337",,West 6th Street,Chadron,Nebraska,69337,42.8262359,-103.0191639,,,,,way,463923383,https://www.openstreetmap.org/way/463923383
Edwards Chrysler Jeep Dodge Ram,,,,"17950 Burt Street, Omaha, NE 68118",17950,Burt Street,Omaha,NE,68118,41.2661118,-96.194305,,,,,way,179060844,https://www.openstreetmap.org/way/179060844
El Tucanazo Auto Sales,,,Used only,"East 4th Street, Grand Island, Nebraska 68802",,East 4th Street,Grand Island,Nebraska,68802,40.9303094,-98.3381143,,,,,node,12289139720,https://www.openstreetmap.org/node/12289139720
Elway Powersports of Lincoln,,,,"6600 North 27th Street, Lincoln, NE 68521",6600,North 27th Street,Lincoln,NE,68521,40.8781692,-96.680617,+1-402-235-6697,https://www.elwaypslincoln.com/,,,way,197740595,https://www.openstreetmap.org/way/197740595
Exclusive Motors,,,Used only,"6154 L Street, Omaha, NE 68117",6154,L Street,Omaha,NE,68117,41.212753,-96.0083957,+1 402 505 7555,,,,way,932227295,https://www.openstreetmap.org/way/932227295
Fair Trade Motors LLC,,,,"5504 Center Street, Omaha, NE 68106",5504,Center Street,Omaha,NE,68106,41.2387963,-95.9988521,+1-402-502-2020,https://fairtradeomaha.com/,Mo-Sa 09:00-18:00,,node,7539421799,https://www.openstreetmap.org/node/7539421799
Fiat of Omaha,Fiat,,Both new & used,"Burt Street, Omaha, NE 68118",,Burt Street,Omaha,NE,68118,41.2641462,-96.1926082,,,,,way,489249993,https://www.openstreetmap.org/way/489249993
Ford,Ford,,,"Beatrice, NE",,,Beatrice,NE,,40.3095535,-96.7480751,,,,,node,2669513906,https://www.openstreetmap.org/node/2669513906
Ford,Ford,Hullman's Ford,,"1416 Harlan Street, Falls City, NE 68355",1416,Harlan Street,Falls City,NE,68355,40.0594389,-95.6015801,,,,,node,11301126376,https://www.openstreetmap.org/node/11301126376
Forrester's Dodge City,,,,"West 1st Avenue, Arnold, Nebraska 69120",,West 1st Avenue,Arnold,Nebraska,69120,41.4219365,-100.1944187,,,,,way,1127926962,https://www.openstreetmap.org/way/1127926962
Friesen Ford,Ford,,,"South 16th Street, Aurora, Nebraska 68818",,South 16th Street,Aurora,Nebraska,68818,40.8243287,-97.9987238,,,,,way,1453323614,https://www.openstreetmap.org/way/1453323614
Gary's Auto Sales,,,Used only,"5351 Cornhusker Highway, Lincoln, NE 68504",5351,Cornhusker Highway,Lincoln,NE,68504,40.8557391,-96.6458223,,,,,way,1305649860,https://www.openstreetmap.org/way/1305649860
Gateway Motors,,,,"South 1st Avenue, Broken Bow, Nebraska 68822",,South 1st Avenue,Broken Bow,Nebraska,68822,41.4021701,-99.6304928,,,,,way,1090218137,https://www.openstreetmap.org/way/1090218137
Gene Steffy Chrysler Jeep Dodge,,,,"2545 East 23rd Street, Fremont 68025",2545,East 23rd Street,Fremont,,68025,41.4506176,-96.4647917,,https://www.genesteffy.com/,,,node,3814845640,https://www.openstreetmap.org/node/3814845640
Gil's Auto Sales,,,Used only,"5029 Center Street, Omaha, NE 68106",5029,Center Street,Omaha,NE,68106,41.2411799,-95.991224,+1-402-991-0024,https://autosalesne.com/,Mo-Fr 09:00-18:00,,way,806645779,https://www.openstreetmap.org/way/806645779
GMC,GMC,,,"Frontage Road North, Chadron, Nebraska 69337",,Frontage Road North,Chadron,Nebraska,69337,42.8291368,-103.0212616,,,,,way,463924134,https://www.openstreetmap.org/way/463924134
Gorges Volvo,,,,"17665 Burt Street, Omaha, NE 68118",17665,Burt Street,Omaha,NE,68118,41.2641661,-96.1912648,,,,,way,179060839,https://www.openstreetmap.org/way/179060839
Greenwood Auto Sales,,,Used only,"3010 Cornhusker Highway, Lincoln, NE 68504",3010,Cornhusker Highway,Lincoln,NE,68504,40.8431001,-96.6756792,+1-402-347-2925,https://www.greenwoodautodeals.com,Mo-Su 10:00-19:00,,way,992029316,https://www.openstreetmap.org/way/992029316
Gregg Young Chevrolet,,,,"17750 Burt Street, Omaha, NE 68118",17750,Burt Street,Omaha,NE,68118,41.2658732,-96.1926059,,,,,way,179060837,https://www.openstreetmap.org/way/179060837
Gregg Young Mitsubishi,Mitsubishi,,Both new & used,"6320 Telluride Drive, Lincoln, NE 68521",6320,Telluride Drive,Lincoln,NE,68521,40.8762825,-96.6827328,+1-531-530-1400,https://www.gymitsubishi.com,,New Car Sales; Used Car Sales,node,5187548669,https://www.openstreetmap.org/node/5187548669
Gretna Auto Outlet,,,,"11808 Standing Stone Drive, Gretna, NE 68028",11808,Standing Stone Drive,Gretna,NE,68028,41.132367,-96.2483117,,https://www.gretnaauto.com/,,,node,6397001317,https://www.openstreetmap.org/node/6397001317
Gretna Auto Outlet,,,Used only,"12190 S 216 Plaza, Gretna, NE 68028",12190,S 216 Plaza,Gretna,NE,68028,41.1265085,-96.2543357,+1-402-332-5868,,Mo-Th 09:00-20:00; Fr-Sa 09:00-19:00; Su 11:00-16:00,,way,958685750,https://www.openstreetmap.org/way/958685750
Grover Street Auto Sales,,,Used only,"6328 Grover Street, Omaha, NE 68106",6328,Grover Street,Omaha,NE,68106,41.2272819,-96.0099436,+1-402-932-7776,https://groverstreetauto.com/,Mo-Fr 09:00-17:30,,node,7535568239,https://www.openstreetmap.org/node/7535568239
H & H Chevrolet,,,,"4645 South 84th Street, Omaha, NE 68127",4645,South 84th Street,Omaha,NE,68127,41.2135026,-96.0421396,,,,,way,266643360,https://www.openstreetmap.org/way/266643360
H+H Chevrolet of Omaha,Chevrolet,,,"South 150th Street, Richland VIII Precinct, Nebraska 68138",,South 150th Street,Richland VIII Precinct,Nebraska,68138,41.1514823,-96.1500469,,,,,way,1185102263,https://www.openstreetmap.org/way/1185102263
H+H Chrysler Dodge Jeep Ram of Omaha,Chrysler,H+H,Both new & used,"Crest Road, Richland VIII Precinct, Nebraska 68138",,Crest Road,Richland VIII Precinct,Nebraska,68138,41.1495106,-96.1476152,,,,,way,1009974463,https://www.openstreetmap.org/way/1009974463
Harvest Auto Family,,,Used only,"3214 Ponderosa Street, Wahoo, NE 68066",3214,Ponderosa Street,Wahoo,NE,68066,41.2365972,-96.6006575,+1-402-277-5080,https://www.driveharvest.com,Mo-Fr 09:00-17:00; Sa 09:00-15:00,,node,13983578176,https://www.openstreetmap.org/node/13983578176
Hastings Ford & Lincoln,,,,"North Shore Drive, Hastings, Nebraska 68902",,North Shore Drive,Hastings,Nebraska,68902,40.617149,-98.3853313,,,,,node,3823986904,https://www.openstreetmap.org/node/3823986904
Henry Motors,,,,"1402 South 11th Street, Nebraska City, Nebraska 68401",1402,South 11th Street,Nebraska City,Nebraska,68401,40.6645806,-95.859812,,,,,way,207821485,https://www.openstreetmap.org/way/207821485
Honda Cars of Bellevue,Honda,,,"Fort Crook West Frontage Road, Bellevue, Nebraska 68005",,Fort Crook West Frontage Road,Bellevue,Nebraska,68005,41.1680373,-95.9271576,,,,,way,548779983,https://www.openstreetmap.org/way/548779983
Honda of Lincoln,Honda,,,"2770 Yankee Hill Road, Lincoln, NE 68516",2770,Yankee Hill Road,Lincoln,NE,68516,40.7272085,-96.6807307,,,,,node,4231375835,https://www.openstreetmap.org/node/4231375835
Huber Cadillac,,,,"11102 West Dodge Road, Omaha, NE 68154",11102,West Dodge Road,Omaha,NE,68154,41.2646528,-96.0873934,+1-402-403-4939,http://www.hubercadillac.net,,,node,4115541047,https://www.openstreetmap.org/node/4115541047
Huber Chevrolet,,,,"11102 West Dodge Road, Omaha, NE 68154",11102,West Dodge Road,Omaha,NE,68154,41.2644552,-96.0887855,+1-402-496-0220,https://www.hubercars.net/,,,node,4115541053,https://www.openstreetmap.org/node/4115541053
Husker Auto Group Pre-Owned,,,Used only,"6740 Telluride Drive, Lincoln, NE 68521",6740,Telluride Drive,Lincoln,NE,68521,40.8793923,-96.6826193,,https://www.huskerchevrolet.com/,,,node,5187548649,https://www.openstreetmap.org/node/5187548649
Husker Chevrolet and Cadillac,,,,"6833 Telluride Drive, Lincoln, NE 68521",6833,Telluride Drive,Lincoln,NE,68521,40.8804954,-96.6840221,,,,,node,5187548657,https://www.openstreetmap.org/node/5187548657
Jacobs Ford and RV,,Jacobs Family,Both new & used,"303 2nd Street, Saint Paul, NE 68873",303,2nd Street,Saint Paul,NE,68873,41.2089397,-98.4518308,,https://www.jacobsford.com/,08:00-18:00,,node,4736300932,https://www.openstreetmap.org/node/4736300932
Janssen & Sons Ford,Ford,,,"US Highway 6 & 34, Holdrege, Nebraska 68949",,US Highway 6 & 34,Holdrege,Nebraska,68949,40.4373424,-99.3882613,,,,,node,3825937254,https://www.openstreetmap.org/node/3825937254
Jerry Spady,,,,"East 26th Street, Hastings, Nebraska 68902",,East 26th Street,Hastings,Nebraska,68902,40.6129873,-98.3807662,,,,,node,3824090340,https://www.openstreetmap.org/node/3824090340
John's Ford,Ford,,,"West Brewster Avenue, Minden, Nebraska 68959",,West Brewster Avenue,Minden,Nebraska,68959,40.4923207,-98.9525097,,,,,node,3827980397,https://www.openstreetmap.org/node/3827980397
John's Used Deere Store,,,Used only,"675 Madison Street, Bennet, Nebraska 68317",675,Madison Street,Bennet,Nebraska,68317,40.679221,-96.5080121,,,,,way,200557599,https://www.openstreetmap.org/way/200557599
Johnny Dodge,Dodge,,,"Highway 275, Neligh, Nebraska 68756",,Highway 275,Neligh,Nebraska,68756,42.1370335,-98.0438472,,,,General repairs; New Car Sales; Used Car Sales,way,657279791,https://www.openstreetmap.org/way/657279791
JPK Investment Motors,,,Used only,"2244 North Cotner Boulevard, Lincoln, NE 68505",2244,North Cotner Boulevard,Lincoln,NE,68505,40.8349282,-96.6300593,+1-402-466-7744,https://www.jpkinvestmentmotors.com/,"Mo-Fr 08:00-17:30, Sa 08:00-16:00",,way,1353744023,https://www.openstreetmap.org/way/1353744023
JT Auto Sales,,,Used only,"3750 Cornhusker Highway, Lincoln, NE 68504",3750,Cornhusker Highway,Lincoln,NE,68504,40.8449645,-96.6668961,+1-402-316-1505,,Mo-Sa 10:00-18:00,Used Car Sales,node,12031968470,https://www.openstreetmap.org/node/12031968470
Jubba Auto Sales,,,,"West 2nd Street, Grand Island, Nebraska 68802",,West 2nd Street,Grand Island,Nebraska,68802,40.9159829,-98.3603795,,,,,node,3818179101,https://www.openstreetmap.org/node/3818179101
Kia of Lincoln,Kia,,Used only,"1021 North 48th Street, Lincoln, NE 68503",1021,North 48th Street,Lincoln,NE,68503,40.8237354,-96.6544547,,,,,node,4242543342,https://www.openstreetmap.org/node/4242543342
Kia of Lincoln,Kia,,Both new & used,"1145 North 48th Street, Lincoln, NE 68504",1145,North 48th Street,Lincoln,NE,68504,40.824927,-96.6544181,+1-531-229-1300,https://www.kiaoflincoln.com/,,,way,903814756,https://www.openstreetmap.org/way/903814756
Kick Kars,,,Used only,"1224 Broadway, Scottsbluff, NE 69361",1224,Broadway,Scottsbluff,NE,69361,41.8591139,-103.6631403,+1-308-223-2816,https://www.kickkars.com/,,,way,514907470,https://www.openstreetmap.org/way/514907470
King of Kars,,,,"West Saint Clair Street, Minden, Nebraska 68959",,West Saint Clair Street,Minden,Nebraska,68959,40.4887367,-98.9523756,,,,,node,3827980368,https://www.openstreetmap.org/node/3827980368
Lashley Auto Sales,,,,"West 27th Street, Scottsbluff, Nebraska 69361",,West 27th Street,Scottsbluff,Nebraska,69361,41.8740292,-103.6722168,,,,,way,803489837,https://www.openstreetmap.org/way/803489837
Lee Janssen Chevrolet,Chevrolet,,,"US Highway 6 & 34, Holdrege, Nebraska 68949",,US Highway 6 & 34,Holdrege,Nebraska,68949,40.4333125,-99.3958305,,,,,node,3825930319,https://www.openstreetmap.org/node/3825930319
Lee Sapp Ford,,,,"1602 Silver Street, Ashland, NE 68003",1602,Silver Street,Ashland,NE,68003,41.0394214,-96.3711112,+1-402-944-3367,https://www.lsford.com/,"Mo,We,Fr 07:00-18:00; Tu,Th 07:00-19:00; Sa 07:00-14:00",,node,357790836,https://www.openstreetmap.org/node/357790836
Lee's Auto Sales,,,Used only,"4712 Madison Avenue, Lincoln, NE 68504",4712,Madison Avenue,Lincoln,NE,68504,40.8404963,-96.6545418,,,,,node,12648382057,https://www.openstreetmap.org/node/12648382057
Lexus of Lincoln,Lexus,,Both new & used,"8585 South 37th Street, Lincoln, NE 68516",8585,South 37th Street,Lincoln,NE,68516,40.7252996,-96.6686093,+14024773233,https://www.lexusoflincoln.com/,,A/C; Batteries; Brakes; Parts; General repairs; Diagnostics; Electrical; Glass; Inspection; Motor; New Car Sales; Oil change; Transmission; Tires; Used Car Sales,way,971262163,https://www.openstreetmap.org/way/971262163
M & M Auto Sales,,,Both new & used,"1840 Cornhusker Highway, Lincoln, NE 68521",1840,Cornhusker Highway,Lincoln,NE,68521,40.8431691,-96.6940049,+1-402-419-9382,https://www.mmautosaleslincoln.com/,Mo-Sa 10:00-18:30,,node,4243896841,https://www.openstreetmap.org/node/4243896841
Maddox,,,,"Glover Street, Sidney, Nebraska 69162",,Glover Street,Sidney,Nebraska,69162,41.1178527,-102.9570349,,,,,node,13004584122,https://www.openstreetmap.org/node/13004584122
